1a wcm 	上網地點: 目前所在縣市	裝置: 桌機, 筆電, 平板或手機	有麥克風	有 webcam
30925140				
40623143				
40723141	雲林(5/28回台北打疫苗	筆電	有	沒有
40723207	雲林	桌機	有	
40723226	雲林	筆電	有	沒有
40723229	雲林	筆電	有	有
40723233	雲林	手機	有	有
40723239				
40723245	雲林	筆電	有	有
40823132	宿舍(虎尾)	桌機	有	沒有
41023104	雲林	筆電	有	有
41023105				
41023108	宿舍	筆電	有	有
41023110	宿舍	筆電	有	沒有
41023112	雲林	桌機	有	沒有
41023118	雲林	筆電	有	沒有
41023119	台中	筆電	有	沒有
41023120	雲林	手機	有	無
41023121	雲林	桌機	無	沒有
41023122	雲林	筆電	無	無
41023124	雲林	筆電	有	沒有
41023125	雲林	桌機	有	沒有
41023130	雲林	筆電	有	沒
41023131				
41023133	雲林	筆電	有	沒有
41023134	雲林	筆電	有	沒
41023138	雲林	筆電	有	沒有
41023140	雲林	筆電	友	沒有
41023142				
41023143	租屋處(虎尾)	筆電	有	有
41023146	宿舍		有	有
41023147	家	筆電	有	沒有
41023148				
41023154	彰化	桌機	有	沒有
