5j wcm2022	上網地點: 目前所在縣市	裝置: 桌機, 筆電, 平板或手機	有麥克風	有 webcam
51033101	雲林縣	筆電	有	有
51033102	雲林縣	桌機	有	無
51033103	雲林縣	筆電	有	有
51033104	雲林縣	桌機	無	無
51033105	雲林縣	筆電	有	沒有
51033106	雲林縣	筆電	有	有
51033107	雲林縣	筆電	有	有
51033108	雲林縣	桌機,筆電	有	有
51033109	雲林縣	桌機	有	無
51033110	台中市	筆電	無	有
51033112	雲林縣	筆電	有	有
51033113	雲林縣	桌電	有	無
51033114				
51033115				
51033116	桃園市	桌機,筆電	有	有
51033117	雲林縣	筆電	有	有
51033118				
51033119	雲林縣	筆電	有	有
51033120				
51033121	雲林縣	筆電	有	有
51033122				
51033124	雲林縣	筆電	有	無
51033125				
51033126	雲林縣	筆電	有	無
51033127	嘉義縣	筆電	有	沒有
51033128				
51033129	雲林縣	手機	有	沒有
51033130				
51033131	雲林縣	筆電	有	有
51033132	台南市	手機	有	沒有
51033133	雲林縣	筆電	有	有
