1a wcm 	上網地點: 目前所在縣市	裝置: 桌機, 筆電, 平板或手機	有麥克風	有 webcam
30925140				
40623143				
40723141	台北	筆電	有	無
40723207				
40723226	雲林	筆電	有	
40723229	雲林	筆電	有	有
40723233				
40723239				
40723245	雲林	筆電	有	有
40823132	雲林	桌電	有	沒有
41023104	雲林	筆電	有	有
41023105				
41023108	台中	筆電	有	有
41023110	台中	筆電	有	無
41023112	雲林	筆電	有	無
41023118	雲林	筆電	有	無
41023119	台中	筆電	有	沒有
41023120	桃園	桌機	沒	沒
41023121	雲林	桌電	無	無
41023122	雲林	筆電	無	無
41023124	台中	桌電	有	無
41023125	雲林	筆電	有	無
41023130	雲林	筆電	有	
41023131				
41023133				
41023134	雲林	筆電	有	無
41023138	雲林	筆電	有	沒有
41023140				
41023142	桃園	筆電	有	有
41023143	桃園	桌電	有	無
41023146	台南	筆電	有	有
41023147	台中	筆電	有	無
41023148				
41023154				
